,,,
M—dulo,Dataset,Descripci—n general,Proceso de actualizaci—n
Tickets,merged_tickets_df.csv,"informaci—n sellout oxxo totales (tickets, ventas, ticket_promedio)",>sh file >py file >ipynb > csv> quicksight spice
Promotions,lealtad_redemption_analysis,"redenci—n promocional de sellos, bonificaci—n",>sql connector > quicksight spice
,loyalty_precio_promedio,informaci—n de precio promedio para c‡lculo de bonificaci—n,>sql connector > quicksight spice
,lealtad_planilla_transacion,informaci—n de iacumulaci—n de sellos y redenci—n efectuada,>sql connector > quicksight spice
,lealtad_sellos_analysis_per_account,informaci—n de recencia y frecuencia por promoci—n / usuario,>sql connector > quicksight spice
,lealtad_recency_frequency_customer,informaci—n de recencia y frecuencia por promoci—n / usuario,>sql connector > quicksight spice
Engagement,loyalty_accounts_main,"indicadores generales de clientes lealtad: clientes activos, churn, digitales, etc",>sql connector > quicksight spice
,lealtad_engagement_sales,ticket promedio de usuarios de lealtad,>sql connector > quicksight spice
,lealtad_new_customers_from_promo,"usuarios nuevos por promociones: cupones, sellos, bpos, estrellas",>sql connector > quicksight spice
,lealtad_users_using_promotions,% del cat‡logo utilizando promociones,>sh file >py file >ipynb > csv> quicksight spice
,lealtad_main_promotions_engagment,principales promociones utilizadas por los diferentes perfiles premia,>sql connector > quicksight spice
Commercial partners,merged_analysis_lealtad_vs_no_lealtad.csv,"tickets, ventas, ticket promedio por socio comercial en promociones",>sh file >py file >ipynb > csv> quicksight spice
